319	jazz.rock	specialty	0
403	progressive.trance	electronic	0.642487568503051665
384	indie.electronic	electronic	0
390	portland	alternative	0
334	8.bit	electronic	0
379	blackgaze	rock	0
371	scotland	specialty	0
299	britpop	alternative	0
318	noise.rock	alternative	0.631980189455648711
369	grunge	rock	0
326	holiday	specialty	0.743102789485242665
323	g.house	electronic	0
329	southern.rock	rock	0
377	atmospheric.black.metal	rock	0
336	space	electronic	0
401	goa	electronic	0.401408965033185849
338	rhode.island	specialty	0
394	psych.pop	alternative	0
163	cleveland	alternative	0
398	roots.reggae	alternative	0.27324009324009324
337	providence	specialty	0
330	louisiana	specialty	0
347	japan	specialty	0
303	minnesota	alternative	0
314	raster.noton	electronic	0
345	los.angeles	hip-hop	0
286	art.rock	specialty	0
380	avant.garde.jazz	specialty	0
333	east.coast.rap	hip-hop	0
317	soloist	specialty	0
408	plunderphonics	electronic	0
382	vocal.jazz	specialty	0
295	melbourne	hip-hop	0
312	sludge	rock	0.613377411488513435
396	ethereal	specialty	0
387	stoner.rock	rock	0.704261947324822279
210	dub.techno	electronic	0
311	sludge.metal	rock	0.669515675848891822
413	jangle.pop	alternative	0
339	colombia	specialty	0
386	concept.album	rock	0
415	twee	alternative	0
344	caribbean	specialty	0
409	acid.jazz	electronic	0
328	ska	alternative	0.647893982330523976
346	african	specialty	0
378	screamo	rock	0
355	brooklyn	alternative	0
324	texas	hip-hop	0
477	illbient	electronic	0
548	bollywood	specialty	0
482	dutch	electronic	0
474	denver	alternative	0
418	minimal.wave	electronic	0
427	comedy	rock	0
461	south.africa	specialty	0
508	uk.bass	electronic	0
445	dark.garage	electronic	0.390180972873280574
454	neurofunk	electronic	0.543907654845154909
446	tribute	alternative	0
436	anime	specialty	0
429	contemporary.classical	specialty	0
487	ska.punk	alternative	0
444	neofolk	specialty	0
543	electro.swing	electronic	0
523	deathcore	rock	0
488	finnish	rock	0
471	modern.classical	specialty	0
435	kpop	alternative	0
511	new.york.city	hip-hop	0
525	groove.metal	rock	0
550	bop	specialty	0
498	seapunk	electronic	0
513	uk.hip.hop	electronic	0
526	melodic.death.metal	rock	0
541	gypsy	specialty	0
439	italian	specialty	0
478	hip.house	electronic	0
531	doom	rock	0.614329364046781179
481	michigan	alternative	0
493	gospel	specialty	0
441	oldies	specialty	0
433	post.industrial	electronic	0
512	p.funk	specialty	0
455	techstep	electronic	0
423	tv	specialty	0
278	black.metal	rock	0.581511290375993917
375	icelandic	alternative	0
80	singer.songwriter	alternative	0.700590155316179519
514	new.jack.swing	hip-hop	0
522	belgium	alternative	0
260	afrobeat	specialty	0.556999970803288336
663	scottish	alternative	0
665	country.funk	specialty	0
666	austin	alternative	0
768	gothic.country	alternative	0
769	melodic.metalcore	rock	0
791	folk.opera	alternative	0
757	polish	specialty	0
712	modal	specialty	0
771	funk.metal	rock	0
743	poland	rock	0
750	spain	specialty	0
715	opera	specialty	0
36	post.rock	specialty	0.588685013974116655
84	disco	specialty	0.639976974732269333
100	ost	specialty	0
106	jazz	specialty	0.638372440406989927
32	fast.fusion	electronic	0
113	country	specialty	0.655732781893587857
22	lounge	electronic	0.65371493032139627
79	breaks	electronic	0.637340756586796009
96	drum.and.bass	electronic	0.657007016235644836
141	jersey.club	electronic	0.274777520524015106
117	netherlands	rock	0
792	theatre	specialty	0
801	parody	rock	0
793	cast.recording	specialty	0.511896946117314289
798	cover	alternative	0
179	toronto	hip-hop	0.687118705158477838
181	chillwave	alternative	0.602264133286975034
171	southern.rap	hip-hop	0.462529093413657832
662	motown	specialty	0
688	ebm	electronic	0
605	boogie	specialty	0
557	nu.soul	electronic	0
611	complextro	electronic	0
588	ambient.dub	electronic	0
684	desert.rock	rock	0
638	dancepop	electronic	0
674	symphonic.metal	rock	0
805	space.disco	electronic	0
778	cosmic	electronic	0
60	latin.jazz	specialty	0.63522051277216296
95	mali	specialty	0
104	balearic	electronic	0.488399486009542139
147	wonky	electronic	0
42	progressive	rock	0.513681371080767946
852	classical.period	specialty	0
853	early.romantic	specialty	0
854	spectralism	specialty	0
855	diy	alternative	0
856	pennsylvania	alternative	0
857	folk.punk	alternative	0
236	synthwave	electronic	0.582403438921929806
231	conceptual	electronic	0
201	electro.funk	electronic	0
215	electroclash	electronic	0
157	jpop	alternative	0
245	chipmusic	electronic	0
250	somnia	electronic	0
188	mambo	specialty	0.301916833166833154
254	harp	specialty	0
259	celtic	specialty	0
255	brazil	specialty	0.590907036615696768
167	memphis	hip-hop	0.47306228878101253
192	houston	hip-hop	0
365	danish	alternative	0
373	iceland	alternative	0
56	post.dubstep	electronic	0
490	mall.emo	alternative	0
462	soft.rock	rock	0
417	hard.trance	electronic	0
504	europop	electronic	0
520	viking.metal	rock	0
519	power.metal	rock	0
491	jrock	rock	0
527	stoner	alternative	0
458	vancouver	alternative	0
544	jewish	specialty	0
452	vocal	specialty	0
545	russian	specialty	0
533	tampa	rock	0
534	progressive.death.metal	rock	0
536	rapcore	rock	0
540	gypsy.punk	alternative	0
475	minimalism	specialty	0
469	future.beats	electronic	0
539	jam.band	rock	0
440	dark.ambient	specialty	0
547	ukraine	rock	0
549	belfast	alternative	0
483	hyperdub	electronic	0
553	gypsyhop	electronic	0
466	electro.soul	electronic	0
431	gothic.rock	rock	0
501	christian.rock	rock	0
411	alternative.metal	rock	0
500	contemporary	specialty	0
480	ed.banger	electronic	0
479	detroit.house	electronic	0
432	chamber.pop	alternative	0
506	romantic	specialty	0.627024685889628119
554	middle.eastern	specialty	0
546	balkan	specialty	0.475857633366770449
476	street.bass	electronic	0
424	tribal.house	electronic	0
425	chanson	alternative	0
521	modern.rock	rock	0
437	skweee	electronic	0
434	screw	electronic	0
426	ragga	electronic	0
443	gabber	electronic	0
456	bluegrass	specialty	0
555	electronic.punk	electronic	0
672	technical.metal	rock	0
669	congo	specialty	0
560	industrial.rock	rock	0
606	future.funk	electronic	0
686	tropicalia	specialty	0
676	paris	hip-hop	0
628	orchestral	specialty	0
569	funky.house	electronic	0
860	brutal.death.metal	rock	0
648	melodic.hardcore	rock	0
639	classic	electronic	0
618	classical.crossover	specialty	0
561	electro.industrial	electronic	0
626	country.rock	rock	0
570	switzerland	rock	0
682	synth.rock	alternative	0
20	downtempo	electronic	0.69228362090367479
4	idm	electronic	0.690941902770206617
