Artist	Album	Song	Duration	Explicit
Anders Osborne	Coming Down	Back on Dumaine	5.617	0
Eva Cassidy	Live at Blues Alley	What a Wonderful World	5.750	0
Leonard Cohen	Songs of Leonard Cohen	Stories of the Street	4.583	0
Nick Drake	Pink Moon	Things Behind the Sun	3.950	0
Tom Waits	The Black Rider	November	2.883	0
David Crosby	Croz	What's Broken	3.783	0
John Fahey	Death Chants, Breakdowns and Military Waltzes	When the Springtime Comes Again	4.900	0
Jandek	Ready for the House	They Told Me I Was a Fool	5.233	0
The Band	Music from Big Pink	The Weight	4.633	0
Bob Dylan	The Freewheelin' Bob Dylan	Don’t Think Twice, It’s All Right	3.667	0
Simon & Garfunkel	Bridge over Troubled Water	The Boxer	5.167	0
