Artist	Album	Song	Duration	Explicit
N.W.A	Greatest Hits	Fuck tha Police	5.750	1
Jeru the Damaja	The Sun Rises in the East	Come Clean	4.950	0
Redman	Dare Iz a Darkside	Can't Wait	4.200	1
DJ Jazzy Jeff & The Fresh Prince	Greatest Hits	Summertime	4.500	1
Run-D.M.C.	Raising Hell	My Adidas	2.783	0
G-Unit	The Beauty of Independence	Dead a Pussy Nigga	3.083	1
Jesse McCartney	Beautiful Soul	Beautiful Soul	3.583	0
Joey Bada$$	B4.DA.$$	Hazeus View	3.650	1
Earl Sweatshirt	EARL	Stapleton	4.267	1
Nico Segal	Donnie Trumpet	Pasadena	3.117	0
Robert Glasper	Black Radio 2	Afro Blue	5.117	0
Sahara	Sunrise	Rainbow Rider	8.683	0
