Artist	Album	Song	Duration	Explicit
Angel Theory	Fatal Condition	Panic Attack	3.983	0
Das Ich	Die Propheten	Gottes Tod	8.133	0
My Life with the Thrill Kill Kult	Confessions of a Knife	Ride the Mindway	7.167	0
Bruce Haack	Captain Entropy	The American Eagle	3.100	0
Aïboforcen	Kafarnauem	Shadows (Beati Mortui mix)	3.833	0
The Residents	Duck Stab / Buster & Glen	Bach Is Dead	1.233	0
Memory Tapes	Call & Response	Asleep at a Party	4.267	0
Actress	Xoul	Xoul Particles	7.517	0
Darkside	Psychic Live	Heart	4.950	0
Prurient	The History of Aids	Garden	0.800	0
Jean-Jacques Perrey	The Amazing New Electronic Pop Sound of Jean Jacques Perrey	Mary France	2.817	0
