Artist	Album	Song	Duration	Explicit
Metallica	Ride the Lightning	The Call of Ktulu	8.900	0
Slayer	Seasons in the Abyss	Temptation	3.417	0
Metallica	Master of Puppets	Master of Puppets	8.500	0
System of a Down	Toxicity	Chop Suey!	3.500	0
In Flames	Come Clarity	Come Clarity	4.250	0
Sepultura	Beneath the Remains	Slaves of Pain	4.050	0
Black Sabbath	Master of Reality	Children of the Grave	5.300	0
Mastodon	Blood Mountain	Crystal Skull	3.450	0
Killswitch Engage	As Daylight Dies	My Curse	4.083	0
Rage Against the Machine	Renegades	In My Eyes	2.883	0
Deftones	Adrenaline	Bored	4.100	0
Linkin Park	The Hunting Party	Final Masquerade	3.617	0
