Artist	Album	Song	Duration	Explicit
Ricky Eat Acid	2011 Demos	Birds	2.233	0
Germany Germany	Adventures	Too Fast	3.683	0
Born Gold	Bodysongs	Lawn Knives	2.083	0
Mr Little Jeans	The Suburbs	The Suburbs	5.117	0
How to Dress Well	"What Is This Heart?"	Words I Don't Remember	6.300	0
Phantogram	Eyelid Movies	Mouthful of Diamonds	4.217	0
The xx	Coexist	Angels	2.867	0
MGMT	Oracular Spectacular	The Youth	3.800	0
Black Moth Super Rainbow	Dandelion Gum	Forever Heavy	4.250	0
Animal Collective	Merriweather Post Pavilion	My Girls	5.683	0
Ellie Goulding	Halcyon	Anything Could Happen	4.767	0
Broken Bells	After the Disco	Leave It Alone	5.500	0
