Artist	Album	Song	Duration	Explicit
Andrew W.K.	I Get Wet	Party Hard	3.067	0
Mountain	Climbing!	Mississippi Queen	2.533	0
Lynyrd Skynyrd	Second Helping	Call Me the Breeze	5.117	0
Creedence Clearwater Revival	Cosmo's Factory	Lookin’ Out My Back Door	2.567	0
MC5	Kick Out the Jams	Ramblin' Rose	4.250	0
Scorpions	Lonesome Crow	Leave Me	5.117	0
AC/DC	Highway to Hell	Highway to Hell	3.467	0
Rush	A Farewell to Kings	The Trees	4.767	0
Blue Öyster Cult	Secret Treaties	Career of Evil	4.000	0
Black Sabbath	Black Sabbath	Black Sabbath	6.333	0
Blue Cheer	Vincebus Eruptum	Summertime Blues	3.783	0
Guns N' Roses	Appetite for Destruction	Paradise City	6.767	0
