Artist	Album	Song	Duration	Explicit
Deerhoof	Breakup Song	There's That Grin	3.300	0
Glifted	Under and In	The Scare	3.017	0
Scratch Acid	The Greatest Gift	Cannibal	2.400	0
Metz	Metz	Sad Pricks	2.850	0
Attack! Attack!	Attack! Attack!	Renob, Nevada	3.233	0
Experimental Audio Research	Phenomena 256	Delta 6 (Hydroponic)	8.850	0
The Velvet Underground	The Velvet Underground & Nico	Venus in Furs	5.167	0
Beach Fossils	What a Pleasure	What a Pleasure	2.533	0
No Age	Weirdo Rippers	Every Artist Needs a Tragedy	3.633	0
Ponytail	Kamehameha	Burning Saddles	1.067	0
Merchandise	After the End	Enemy	4.500	0
Died Pretty	Trace	A State of Graceful Mourning	19.433	0
