Artist	Album	Song	Duration	Explicit
The Soft Boys	Underwater Moonlight	I Wanna Destroy You	2.883	0
Shellac	At Action Park	My Black Ass	3.000	1
No Age	Weirdo Rippers	Every Artist Needs a Tragedy	3.633	0
Babes in Toyland	Fontanelle	Bruise Violet	2.867	0
Mudhoney	Superfuzz Bigmuff	Need	3.017	0
Mr. Bungle	Mr. Bungle	Squeeze Me Macaroni	5.633	1
The Pogues	If I Should Fall From Grace With God	Fairytale of New York	4.567	0
Bahamas	Bahamas Is Afie	Waves	4.367	0
Eels	Electro-Shock Blues	P.S. You Rock My World	3.133	0
Pixies	Surfer Rosa	Where Is My Mind?	3.883	0
Yeah Yeah Yeahs	It's Blitz!	Skeletons	5.033	0
Portugal. The Man	The Satanic Satanist / The Majestic Majesty	People Say	2.983	0
Charlotte Gainsbourg	IRM	Me and Jane Doe	3.333	0
