Artist	Album	Song	Duration	Explicit
Bob Seger	Night Moves	The Fire Down Below	4.467	0
The Cars	The Cars	Just What I Needed	3.717	0
Cheap Trick	Cheap Trick	Hot Love	2.517	0
MC5	Kick Out the Jams	Kick Out the Jams	2.867	0
Meat Loaf	Bat Out of Hell	Bat Out of Hell	9.867	0
Journey	Look Into The Future	Look Into the Future	8.200	0
Emerson, Lake & Palmer	Tarkus	Infinite Space (Conclusion)	3.367	0
Yes	Going for the One	Going for the One	5.600	0
Gentle Giant	Gentle Giant	Funny Ways	4.383	0
Grand Funk Railroad	Grand Funk	Inside Looking Out	9.533	0
