Artist	Album	Song	Duration	Explicit
The Wedding Present	Seamonsters	Rotterdam	3.267	0
Clinic	Free Reign	Miss You	5.650	0
Farm	sat., cloudy, calm, 36°F, 10:44 p.m.	Overgrown	3.617	0
Stereolab	Refried Ectoplasm: Switched On, Vol. 2	French Disko	3.583	0
Modest Mouse	Building Nothing Out of Something	Convenient Parking	4.150	0
Broken Social Scene	You Forgot It in People	Anthems for a Seventeen Year‐Old Girl	4.583	0
St. Vincent	St. Vincent	Digital Witness	3.367	0
Spoon	The Agony Of Laffitte	The Agony of Laffitte	3.617	0
Black Moth Super Rainbow	Falling Through a Field	I Think It Is Beautiful That You Are 256 Colors Too	2.350	0
Arctic Monkeys	AM	Arabella	3.450	0
Gorillaz	Demon Days	Feel Good Inc.	3.683	0
Primal Scream	XTRMNTR	Accelerator	3.683	0
Klaxons	Love Frequency	Children of the Sun	3.933	0
