Artist	Album	Song	Duration	Explicit
Justin Bieber	Believe	One Love	3.900	0
Neneh Cherry	Raw Like Sushi	Buffalo Stance	5.350	0
Ariana Grande	My Everything	Problem	3.217	0
The Weeknd	House of Balloons	High for This	4.133	1
John Legend	Love in the Future	All of Me	4.483	0
Amy Winehouse	Frank	I Heard Love Is Blind	2.167	0
Sia	1000 Forms of Fear	Elastic Heart	4.283	0
Ray Charles	The Spirit of Christmas	Christmas Time	5.100	0
Jessie Ware	Devotion	Still Love Me	3.917	0
Majid Jordan	Majid Jordan	Learn From Each Other	5.767	0
SBTRKT	Wonder Where We Land	Problem (Solved)	2.650	0
Shy'm	Paris Bercy Le Concert	Je suis moi	9.300	0
