Artist	Album	Song	Duration	Explicit
Lilys	In the Presence of Nothing	Claire Hates Me	4.550	0
Makthaverskan	Makthaverskan II	Asleep	4.067	0
Whirr	Part Time Punks Sessions	Junebouvier	3.850	0
Weekend	Red	Sweet Sixteen	4.333	0
A Place to Bury Strangers	A Place to Bury Strangers	Missing You	3.900	0
Medicine	Shot Forth Self Living	Sweet Explosion	3.250	0
My Bloody Valentine	Loveless	When You Sleep	4.183	0
Galaxie 500	On Fire	Blue Thunder	3.800	0
VOICEsVOICEs	Origins	Origins	6.100	0
Tropic of Cancer	The End of All Things	Be Brave	6.950	0
Noiserv	A Day in the Day of the Days	11:15 Am - The Sad Story of a Little Town	3.650	0
