Artist	Album	Song	Duration	Explicit
MASS OF THE FERMENTING DREGS (マス オブ ザ ファーメンティング ドレッグス)	MASS OF THE FERMENTING DREGS	ベアーズ	4.767	0
Roger Bunn	Piece of Mind	Road to the Sun	5.617	0
Monks	Black Monk Time	I Hate You	3.417	0
The Fugs	First Album	Carpe Diem	5.167	0
Kim Fowley	Outrageous	Hide and Seek	2.133	0
The 13th Floor Elevators	The Psychedelic Sounds of the 13th Floor Elevators	Roller Coaster	5.133	0
Jokers Wild	Jokers Wild	Walk Like a Man	2.200	0
Blues Magoos	Psychedelic Lollipop	Tobacco Road	4.667	0
The Action	Rolled Gold	Brain	3.000	0
Mary Butterworth	Mary Butterworth	Feeling I Get	3.967	0
Lothar and the Hand People	Space Hymn	Sister Lonely	2.667	0
Acid Mothers Temple & The Melting Paraiso U.F.O.	Acid Mothership Live	Dark Stars in the Dazzling Sky	22.333	0
