Artist	Album	Song	Duration	Explicit
Avril Lavigne	Goodbye Lullaby	Wish You Were Here	3.750	0
Luscious Jackson	Fever In Fever Out	Naked Eye	4.667	0
Lorde	Pure Heroine	Royals	3.167	0
L7	Bricks Are Heavy	Diet Pill	4.367	0
Hole	Celebrity Skin	Celebrity Skin	2.700	0
Stone Temple Pilots	Purple	Interstate Love Song	3.233	0
Alice in Chains	MTV Unplugged	Would?	3.717	0
The Smashing Pumpkins	Untitled	Untitled	3.867	0
Green Day	Dookie	Sassafras Roots	2.617	0
The Jesus Lizard	Goat	Mouth Breather	2.283	0
Babes in Toyland	Fontanelle	Bluebell	2.367	0
Ramones	Ramones	Judy Is a Punk	1.533	0
Red Hot Chili Peppers	Blood Sugar Sex Magik	Under the Bridge	4.417	0
The Pogues	If I Should Fall From Grace With God	If I Should Fall From Grace With God	2.317	0
The Mars Volta	De-Loused in the Comatorium	Eriatarka	15.150	0
