Artist	Album	Song	Duration	Explicit
OutKast	Stankonia	Ms. Jackson	4.500	0
Men at Work	Business As Usual	Down Under	3.700	0
Buckcherry	Fuck	Say Fuck It	2.917	1
Def Leppard	Vault - Greatest Hits 1980 - 1995	Love Bites	5.767	0
John Mellencamp	Scarecrow	Small Town	3.700	0
Ryan Adams	Ryan Adams	Gimme Something Good	3.900	0
Bruce Hornsby	Solo Concerts	Mandolin Rain	7.000	0
Cathy Jean	Little Sick Twist	Deeper	4.917	1
Ram John Holder	Black London Blues	Pub Crawling Blues	5.400	0
The New Basement Tapes	Lost on the River	When I Get My Hands on You	3.167	0
Lord Montague	Lord Montague	Answers	7.467	0
