Artist	Album	Song	Duration	Explicit
The Lounge Lizards	The Lounge Lizards	Harlem Nocturne	2.117	0
23 Skidoo	Seven Songs	Vegas el bandito	2.750	0
The Flying Lizards	The Flying Lizards	Summertime Blues	3.550	0
The Durutti Column	The Return of the Durutti Column	Sketch for Summer	3.683	0
The Horrors	Primary Colours	Sea Within a Sea	7.967	0
James Chance	Buy	Contort Yourself	4.383	0
Liars	Drum's Not Dead	The Other Side of Mt. Heart Attack	4.717	0
Dead Can Dance	Dead Can Dance	The Trial	3.717	0
Red Temple Spirits	Dancing to Restore an Eclipsed Moon	Dark Spirits	4.417	0
Chrome	Half Machine Lip Moves	TV as Eyes	2.317	0
Cabaret Voltaire	The Voice of America	Obsession	5.317	0
Public Image Ltd.	Metal Box / Second Edition	Poptones	7.767	0
