Artist	Album	Song	Duration	Explicit
Art Ensemble of Chicago	Fanfare for the Warriors	Illistrum	8.283	0
Sonny Sharrock	Black Woman	Black Woman	5.267	0
Joe Cuba Sextet	Wanted Dead Or Alive (Bang! Bang! Push, Push, Push)	Mujer Divina	4.650	0
Cybotron	Cyber Ghetto	Fragment 17 Phase 1 (Proximian Mythos Cycle)	6.150	0
Mahjun	Mahjun	Le Jus de la figue	3.000	0
Guignol	Guignol	Bad Day at the U.N.	2.667	0
Lisa Ekdahl	At the Olympia Paris	Now or Never	3.417	0
Mulatu Astatqé	New York - Addis - London - The Story of Ethio Jazz 1965-1975	Yèkatit	3.950	0
Don Cherry	"Mu" First Part, "Mu" Second Part	Psycho Drama	2.383	0
Charles Mingus	Blues & Roots	Cryin' Blues	5.017	0
Grant Green	Idle Moments	Idle Moments	14.933	0
