Artist	Album	Song	Duration	Explicit
Bassnectar	Timestretch	Bass Head	6.667	0
Ronald Jenkees	Disorganized Fun	Stay Crunchy	4.100	0
The Avalanches	Since I Left You	Close to You	3.933	0
DJ Shadow	The Liquid Amber EP	Six Days (Machinedrum remix)	4.333	0
Mogwai	Hardcore Will Never Die, But You Will	White Noise	5.050	0
Four Tet	Pink	Locked	8.483	0
Bibio	Ambivalence Avenue	Ambivalence Avenue	3.700	0
Justice	A Cross the Universe	DVNO	4.217	0
Calvin Harris	Ready for the Weekend	Ready for the Weekend (Fake Blood remix)	4.500	0
Daft Punk	Alive 2007	Robot Rock / Oh Yeah	6.450	0
