Artist	Album	Song	Duration	Explicit
Mr. Oizo	Analog Worms Attack	No Day Massacre	4.317	0
Akufen	My Way	Wet Floors	6.300	0
Isolée	We Are Monster	My Hi-Matic	5.967	0
DJ Koze	Amygdala	Nices Wölkchen	5.517	0
Trentemøller	Into the Great Wide Yonder	Sycamore Feeling	6.083	0
Der Dritte Raum	Mental Modulator	Montiee	11.583	0
Ellen Allien,Apparat	Orchestra of Bubbles	Floating Points	5.233	0
Aphex Twin	...I Care Because You Do	Acrid Avid Jam Shred	7.633	0
