Artist	Album	Song	Duration	Explicit
EPMD	Strictly Business	Strictly Business	4.750	0
Buju Banton	'Til Shiloh	Untold Stories	4.600	0
We Came As Romans	To Plant a Seed	To Plant a Seed	3.833	0
James Brown	Live At The Apollo	Try Me	2.233	0
Gil Scott-Heron	Pieces of a Man	Home Is Where the Hatred Is	3.333	0
Marvin Gaye	Midnight Love	Sexual Healing	4.000	0
Sly & The Family Stone	A Whole New Thing	Trip to Your Heart	3.717	0
Earth, Wind & Fire	That's the Way of the World	Reasons	4.983	0
Bill Withers	Still Bill	Kissing My Love	3.817	0
The Weeknd	House of Balloons	High for This	4.133	1
Sade	Love Deluxe	Cherish the Day	5.567	0
FKA twigs	LP1	Pendulum	4.967	0
