Artist	Album	Song	Duration	Explicit
Wand	Ganglion Reef	Strange Inertia (Ctrl Alt Death)	3.350	0
The Olivia Tremor Control	Black Foliage: Animation Music, Volume 1	I Have Been Floated	3.650	0
Pond	Beard, Wives, Denim	Fantastic Explosion of Time	4.450	0
Melody's Echo Chamber	Melody's Echo Chamber	Quand vas tu rentrer ?	4.333	0
Spacemen 3	The Perfect Prescription	Things'll Never Be the Same	6.050	0
Aluk Todolo	Descension	Woodchurch	9.450	0
Os Mutantes	Os Mutantes	A minha menina	4.683	0
The Strawberry Alarm Clock	Incense and Peppermints	Incense and Peppermints	2.833	0
The Flaming Lips	The Flaming Lips and Heady Fwends	Ashes in the Air	6.183	1
Hawkwind	Hawkwind	Seeing It as You Really Are	10.800	0
