Artist	Album	Song	Duration	Explicit
John Butler	Ocean	Ocean	11.650	0
Bob Dylan	Highway 61 Revisited	Tombstone Blues	5.967	0
Johnny Cash	At Folsom Prison	Folsom Prison Blues	2.700	0
Jackson Browne	Running on Empty	Cocaine	4.900	0
Neil Young	Harvest	The Needle and the Damage Done	2.050	0
Bruce Springsteen	Tunnel of Love	Tunnel of Love	5.200	0
John Lennon	Imagine	Imagine	3.067	0
Eric Clapton	Slowhand	Cocaine	3.700	0
Queen	Greatest Hits II	Who Wants to Live Forever	5.767	0
Bon Jovi	New Jersey	Lay Your Hands on Me	5.983	0
