Artist	Album	Song	Duration	Explicit
Emmy the Great	Virtue	Dinosaur Sex	5.617	0
Wingnut Dishwasher's Union	Towards a World Without Dishwashers!	Picking Sides	4.167	0
Andrew Jackson Jihad	People That Can Eat People Are the Luckiest People in the World	People II: The Reckoning	4.133	0
Ghost Mice	Ghost Mice	Monsters Get Slain	3.667	0
Rosa	I Mississippi You	Leah's Song	2.033	0
O'Death	Head Home	Down to Rest	3.700	0
Owen	New Leaves	A Trenchant Critique	2.783	0
Angus & Julia Stone	Angus & Julia Stone	Grizzly Bear	4.133	0
This Bike Is a Pipe Bomb	Three Way Tie For A Fifth	What Shall We Do (x2)	1.500	0
Spokane	Measurement	Protocol	6.200	0
Anaïs Mitchell	Hadestown	Wedding Song	3.300	0
May Erlewine	Love Labor	The Turning	3.683	0
Joanna Newsom	Ys	Emily	13.133	0
