Artist	Album	Song	Duration	Explicit
Cannibal Corpse	The Wretched Spawn	They Deserve to Die	4.733	0
Obituary	Slowly We Rot	Gates to Hell	2.800	0
Hypocrisy	A Taste of Extreme Divinity	Hang Him High	4.567	0
Arch Enemy	Rise of the Tyrant	Blood on Your Hands	4.683	0
Insomnium	In the Halls of Awaiting	The Elder	4.767	0
Dark Tranquillity	The Gallery	Edenspring	4.500	0
Amon Amarth	Versus the World	Thousand Years of Oppression	5.683	0
At the Gates	Slaughter of the Soul	Under a Serpent Sun	3.983	0
In Flames	Clayman	Bullet Ride	4.700	0
Children of Bodom	Hatebreeder	Downfall	4.550	0
Whitechapel	This Is Exile	Father of Lies	4.050	0
