Artist	Album	Song	Duration	Explicit
Public Enemy	It Takes a Nation of Millions to Hold Us Back	She Watch Channel Zero?!	3.833	0
De La Soul	3 Feet High and Rising	Change in Speak	2.533	0
El-P	I'll Sleep When You're Dead	Flyentology	4.017	0
Aesop Rock	The Impossible Kid	Supercell	3.833	0
CunninLynguists	A Piece of Strange	Remember Me (Abstract/Reality)	4.433	0
Atmosphere	When Life Gives You Lemons, You Paint That Shit Gold	Your Glasshouse	3.967	0
Sage Francis	Still Sickly Business	Majority Rule	4.283	0
Manafest	The Moment	Criminal	3.433	0
LAKE	Let's Build a Roof	Christmas Island	2.500	0
Rage Against the Machine	Rage Against the Machine	Wake Up	6.067	0
Sublime	Sublime	Pawn Shop	6.100	0
Eagles	Eagles Greatest Hits Volume 2	Hotel California	6.483	0
