Artist	Album	Song	Duration	Explicit
Frank Bretschneider	Rhythm	Other Days, Other Eyes	4.167	0
Fluence	ｅｌｅｍｅｎｔａｌ	ｅｌｅｍｅｎｔａｌ	2.383	0
Porter Robinson	Worlds (Remixed)	Flicker (Mat Zo Remix)	5.283	0
Feed Me	To the Stars	Strange Behaviour	4.900	0
Knife Party	Rage Valley	Bonfire	4.533	0
Nero	Welcome Reality	Promises	4.283	0
Savant	ISM	Starfish	5.017	0
Datsik	Vitamin D	Annihilate	4.000	0
Burial	Untrue	Ghost Hardware	4.900	0
Darkstar	Need You / Squeeze My Lime	Squeeze My Lime	5.517	0
Starkey	Ephemeral Exhibits	Spacewalk	6.250	0
