Artist	Album	Song	Duration	Explicit
Jimi Hendrix	Are You Experienced	Red House	3.733	0
The Beach Boys	The Smile Sessions	Heroes and Villains	7.267	0
The Who	Tommy	The Acid Queen	3.550	0
The Beatles	Sgt. Pepper's Lonely Hearts Club Band	Lucy in the Sky With Diamonds	3.467	0
The Velvet Underground	The Velvet Underground & Nico	Venus in Furs	5.167	0
The Kinks	The Kinks Are the Village Green Preservation Society	Big Sky	2.867	0
Muddy Waters	Electric Mud	Mannish Boy	3.817	0
Santana	Supernatural	Migra	5.467	0
Queen	Greatest Hits	Somebody to Love	4.550	0
Yes	The Ladder	To Be Alive (Hep Yadda)	5.117	0
Emerson, Lake & Palmer	Trilogy	Trilogy	8.900	0
