Artist	Album	Song	Duration	Explicit
Bodyguard	SILICA GEL	Fatal	7.667	1
Mr. Carmack	Drugs EP	Kick It Up	2.667	0
Clams Casino	Rainforest	Waterfalls	3.517	0
RL Grime	High Beams	Pockets	3.533	0
C2C	Tetra	Down the Road	3.450	0
Ratatat	Classics	Loud Pipes	3.767	0
Ronald Jenkees	Disorganized Fun	Stay Crunchy	4.100	0
Johnny May Cash	Death Row	Take This Pain Away	1.617	1
Bryson Tiller	T R A P S O U L	Let Em' Know	4.350	1
Anderson .Paak	Malibu	Heart Don't Stand a Chance	5.233	1
Justin Bieber	Believe	One Love	3.900	0
Sun Tzu	Strategic Deception	Chapter 2 Waging War.mp3	1.200	0
Ariana Grande	Christmas Kisses	Last Christmas	3.383	0
