Artist	Album	Song	Duration	Explicit
Godflesh	Messiah	Messiah	6.483	0
In Flames	Come Clarity	Come Clarity	4.250	0
1349	Hellfire	I Am Abomination	4.167	0
System of a Down	System of a Down	Spiders	3.583	0
Marilyn Manson	Antichrist Superstar	Cryptorchid	2.733	0
Ministry	The Land of Rape and Honey	Golden Dawn	5.700	0
Amaranthe	Massive Addictive	Drop Dead Cynical	3.283	0
Avatar	Hail the Apocalypse	What I Don't Know	4.883	0
DragonForce	Maximum Overload	The Game	4.933	1
Symphony X	The Divine Wings of Tragedy	Of Sins and Shadows	4.967	0
Dream Theater	Train of Thought	Endless Sacrifice	11.400	0
