Artist	Album	Song	Duration	Explicit
P.O.S	Never Better	Purexed	5.200	1
Damu the Fudgemunk	Public Assembly	Madvillain Revision (instrumental)	2.450	0
Blue Scholars	The Long March EP	Commencement Day	4.350	0
CunninLynguists	Strange Journey Volume One	Never Come Down (The Brownie Song)	3.700	1
Hail Mary Mallon	Bestiary	Jonathan	3.417	0
Dilated Peoples	Directors of Photography	Directors	3.517	1
CYNE	Evolution Fight	Growing	4.067	1
Mystic Forest	Welcome Back in The Forest	Welcome Back in the Forest	0.917	0
Flatbush Zombies	BetterOffDEAD	Palm Trees	4.333	1
A$AP Mob	Xscape	Xscape	3.717	1
SpaceGhostPurrp	Mysterious Phonk: The Chronicles of SpaceGhostPurrp	The Black God	3.567	1
Diamond District	In the Ruff	Streets Won't Let Me Chill (instrumental)	4.050	1
Logic	The Incredible True Story	Fade Away	4.783	0
