Artist	Album	Song	Duration	Explicit
Joe Henderson	In 'n Out	Punjab	9.117	0
Lee Konitz	Motion	All of Me	8.917	0
Lennie Tristano	Lennie Tristano / The New Tristano	Requiem	4.883	0
Buddy Rich	Big Swing Face	The Beat Goes On	5.667	0
Stan Kenton	City of Glass	Thermopylae	2.933	0
Modern Jazz Quartet	Lonely Woman	Animal Dance	4.083	0
Bill Evans	Explorations	Nardis	5.850	0
Stéphane Grappelli,Django Reinhardt	Django Reinhardt & Stéphane Grappelli	Dinah	3.500	0
Martial Solal	At Newport '63	Suite pour une frise	11.917	0
