Artist	Album	Song	Duration	Explicit
Apoptose	Ana Liil	Ana Liil	5.733	0
El Ten Eleven	El Ten Eleven	1969	0.767	0
God Is an Astronaut	Far from Refuge	New Years End	4.283	0
Faunts	High Expectations/Low Results	Memories of Places We've Never Been	4.150	0
A Sunny Day in Glasgow	Scribble Mural Comic Journal	5:15 Train	4.200	0
Belong	October Language	October Language	5.500	0
Jasper TX	Black Sleep	Black Sleep, Part III	5.533	0
Koen Holtkamp	Field Rituals	Night Swimmer	5.283	0
Motion Sickness of Time Travel	Oust	Black Umbrella	5.367	0
Emeralds	What Happened	Damaged Kids	15.017	0
