Artist	Album	Song	Duration	Explicit
Jeru the Damaja	The Sun Rises in the East	Come Clean	4.950	0
Nas	Life Is Good	Cherry Wine	5.933	1
Mac Miller	Blue Slide Park	Frick Park Market	3.267	1
Edan	Beauty and the Beat	Fumbling Over Words That Rhyme	2.917	0
G-Unit	God's Plan	If Dead Men Could Talk	3.600	1
ScHoolboy Q	Oxymoron	Collard Greens	4.983	1
O.C.	Word...Life	Ma Dukes	4.000	1
Chance the Rapper	Acid Rap	Juice	3.583	1
Childish Gambino	Because The Internet	V. 3005	3.900	1
Nicki Minaj	Anaconda	Anaconda	4.333	1
6th Floor	6th Floor	Night Full of Kicks	3.533	0
Chuck D	Autobiography of Mistachuck	Free Big Willie	4.667	0
