Artist	Album	Song	Duration	Explicit
Blur	Parklife	Girls & Boys	4.833	0
Phoenix	Entertainment (Dinosaur Jr. Remix)	Entertainment (Dinosaur Jr. remix)	6.483	0
Chromatics	Kill for Love	Into the Black	5.367	0
Delta Spirit	Into the Wide	From Now On	3.150	0
Ween	The Mollusk	Buckingham Green	3.333	0
Franz Ferdinand	Franz Ferdinand	Michael	3.350	0
Death Cab for Cutie	Transatlanticism	Transatlanticism	8.033	0
Stereophonics	Performance and Cocktails	A Minute Longer	3.767	0
mclusky	mclusky Do Dallas	Collagen Rock	2.867	0
Cage the Elephant	Cage the Elephant	Back Against the Wall	3.800	0
Joy Division	Closer	The Eternal	6.117	0
