Artist	Album	Song	Duration	Explicit
Ulrich Schnauss	A Strangely Isolated Place	Monday - Paracetamol	7.950	0
Boards of Canada	Music Has the Right to Children	Roygbiv	2.483	0
Boards of Canada	Geogaddi	Music Is Math	5.350	0
Aphex Twin	Richard D. James Album	Fingerbib	3.800	0
The Flashbulb	Soundtrack to a Vacant Life	Steel for Pappa	1.267	0
Delerium	Music Box Opera	Raindown	5.800	0
Hooverphonic	Blue Wonder Power Milk	Eden	3.550	0
Entheogenic	Spontaneous Illumination	Ground Luminosity	11.700	0
Shulman	Soundscapes and Modern Tales	New Paradigm	3.000	0
Emancipator	Soon It Will Be Cold Enough	Anthem	5.667	0
