Artist	Album	Song	Duration	Explicit
Envy	Insomniac Doze	Further ahead of warp	6.850	0
Pianos Become the Teeth	Old Pride	Filial	5.250	0
La Dispute	Somewhere at the Bottom of the River Between Vega and Altair	Such Small Hands	1.583	0
Barrow	Though I'm Alone	Fox Ears and Silence	3.617	0
Alesana	Try This With Your Eyes Closed	Red and Dying Evening	3.000	0
Blessthefall	Witness	Hey Baby, Here's That Song You Wanted	3.233	0
Scarlett O'Hara	Lost In Existence	Lost in Existence	4.133	0
The Amity Affliction	Severed Ties	Love Is a Battlefield	2.800	0
We Came As Romans	To Plant a Seed	Intentions	3.017	0
Bring Me the Horizon	Sempiternal	Sleepwalking	3.833	0
August Burns Red	Leveler	Empire	3.867	0
The Devil Wears Prada	Plagues	Hey John, What's Your Name Again?	3.767	0
Misery Signals	Mirrors	Mirrors	7.733	0
