Artist	Album	Song	Duration	Explicit
FaltyDL	Love Is a Liability	Human Meadow	4.150	0
Burial	Untrue	Ghost Hardware	4.900	0
Bassnectar	Timestretch	Timestretch	6.083	0
Ikonika	Please / Simulacrum	Please	4.667	1
Darkstar	Need You / Squeeze My Lime	Need You	6.167	0
Joy Orbison	Hyph Mngo / Wet Look	Hyph Mngo	5.667	0
Kode9	Memories of the Future	9 Samurai	3.667	0
LV	Sebenza	Zulu Compurar	2.033	0
Starkey	Ear Drums and Black Holes	OK Luv	4.000	0
Joker	Reimagined, Pt. 1	Newham Generals (Trolley Snatcha remix)	3.650	1
Skrillex	My Name Is Skrillex	My Name Is Skrillex	4.517	0
