Artist	Album	Song	Duration	Explicit
Jeezy	Seen It All: The Autobiography	Holy Ghost	4.683	0
Rockie Fresh	Electric Highway	Thick Bitch (Hit My Jack)	3.017	1
SD	Truly Blessed	Circles	4.500	0
Kate Tempest	Lonely Daze	Lonely Daze	3.967	0
GoldLink	The God Complex	Planet Paradise	3.433	1
Chief Keef	Finally Rich	Hallelujah	3.033	0
Samian	Enfant de la terre	Les Miens	4.150	0
Mondo Drag	New Rituals	New Rituals	9.017	1
clipping	Untitled	Studio Freestyle 01	2.600	1
Dark Lotus	The Mud, Water, Air and Blood	Let It Rain	6.633	0
