Artist	Album	Song	Duration	Explicit
HKE	2047	Emotionless	1.850	0
Skylar Spence	new generation	ビッグバンの祭壇BANGALTER	2.167	0
Macintosh Plus	FLORAL SHOPPE 2015 REDUX	リサフランク420 / 現代のコンピュー	7.333	0
Oneohtrix Point Never	R Plus Seven	Zebra	6.733	0
ECO VIRTUAL	ATMOSPHERES 第1 (VIRTUAL大気中分析)	Morning Haze	1.150	0
Innerϟpeaker	Flight Wave	Get Ready	2.750	0
A Setting Sun	Empty Sound	Views From the Real World	3.683	0
Andy Stott	Luxury Problems	Sleepless	5.817	0
Kuba	Through a Lense	Dawn Chorus	6.167	0
Ott	Blumenkraft	Splitting an Atom	7.350	0
Phutureprimitive	Sub Conscious	Rites of Passage	11.333	0
