Artist	Album	Song	Duration	Explicit
Daft Punk	Discovery	Voyager	3.783	0
Crystal Castles	Crystal Castles (II)	Birds	2.500	0
Propellerheads	Decksandrumsandrockandroll	History Repeating	4.033	0
Chromeo	White Women	Over Your Shoulder	4.533	0
Cut Copy	Oceans Apart	Don't Stop	6.200	0
Justice	A Cross the Universe	DVNO	4.217	0
deadmau5	Deadmau5: The Remixes	Some Chords	7.400	0
Skrillex	Scary Monsters and Nice Sprites	Kill EVERYBODY	4.983	0
Knife Party	Abandon Ship	Boss Mode	3.783	0
Kaskade	Fire & Ice	Lick It	3.567	0
Ellie Goulding	High for This	High for This	3.883	1
