Artist	Album	Song	Duration	Explicit
OutKast	Stankonia	Ms. Jackson	4.500	0
Kanye West	The College Dropout	School Spirit	3.033	1
Mos Def	Black on Both Sides	Ms. Fat Booty	3.733	1
Beastie Boys	Paul's Boutique	Shadrach	4.133	0
A Tribe Called Quest	Midnight Marauders	Electric Relaxation	4.050	0
Nas	Illmatic	Represent	4.200	1
Jay Z	The Blueprint	Heart of the City (Ain’t No Love)	3.783	1
Eminem	The Marshall Mathers LP	The Real Slim Shady	4.733	1
The Notorious B.I.G.	Ready to Die	Everyday Struggle	5.317	1
Wu-Tang Clan	Enter the Wu-Tang (36 Chambers)	C.R.E.A.M.	4.200	1
KRS-One	Return of the Boom Bap	Mortal Thought	3.317	1
Redman	Dare Iz a Darkside	Can't Wait	4.200	1
