Artist	Album	Song	Duration	Explicit
Mouse and The Traps	The Fraternity Years	Good Times	2.517	0
The Chocolate Watchband	No Way Out	Let's Talk About Girls	2.983	0
The Seeds	A Web of Sound	Mr. Farmer	3.167	0
Roky Erickson	I Think of Demons	I Think of Demons	2.783	0
Ty Segall	Slaughterhouse	I Bought My Eyes	3.767	0
King Gizzard & The Lizard Wizard	Float Along - Fill Your Lungs	God Is Calling Me Back Home	4.400	0
Pond	Frond	Annie Orangetree	3.483	0
Apache Dropout	Heavy Window	Trash Is Treasure	2.633	0
The Remains	A Session with The Remains	Like a Rolling Stone	3.817	0
Fuzz	Fuzz	Earthen Gate	5.000	0
King Tuff	King Tuff	Bad Thing	2.317	0
Chrome	Half Machine Lip Moves / Alien Soundtracks	TV as Eyes	2.317	0
Hookworms	The Hum	Retreat	5.800	1
Moon Duo	Circles	Sleepwalker	4.917	1
