Artist	Album	Song	Duration	Explicit
Iron Butterfly	In-A-Gadda-Da-Vida	My Mirage	4.883	0
High Tide	Sea Shanties	Nowhere	5.933	0
Leaf Hound	Growers of Mushroom	Drowned My Life in Fear	3.067	0
Sir Lord Baltimore	Kingdom Come	Master Heartache	4.567	0
Blue Cheer	Vincebus Eruptum	Summertime Blues	3.783	0
Graveyard	Graveyard	Thin Line	5.400	0
Pink Floyd	The Dark Side of the Moon	The Great Gig in the Sky	4.733	0
Scorpions	Lonesome Crow	Leave Me	5.117	0
Rush	Permanent Waves	Jacob’s Ladder	7.517	0
The Who	Tommy	Underture	10.067	0
