Artist	Album	Song	Duration	Explicit
MF Doom	MM..Food	Vomitspit	2.800	0
Lil B	Thugged Out Pissed Off	I Love Bitche$	4.000	1
Childish Gambino	I Am Just A Rapper	My Girls (My Girls)	3.617	1
Sunz Of Man	Elements	Elements	3.367	1
Gucci Mane	Trap House 4	Intro	1.600	0
Divine Styler	Spiral Walls Containing Autumns of Light	Grey Matter	5.700	0
dälek	Gutter Tactics	No Question	4.667	0
Montana of 300	Cursed with a Blessing	Ice Cream Truck	4.367	1
A$AP Rocky	LIVE.LOVE.A$AP	Peso	2.800	0
Freddie Gibbs	Shadow of a Doubt	Lately	3.917	0
Sene	Pavement Special	Juss Yesterday	2.800	0
Joey Bada$$	B4.DA.$$	Paper Trail$	3.233	1
You And What Army	The End of the Beginning	The End of the Beginning	2.133	0
The X-ecutioners	General Patton vs. The X-Ecutioners	¡Kamikaze! 0500 Hrs. ('Take a Piece of Me')	2.267	0
