Artist	Album	Song	Duration	Explicit
Stan Kenton	Adventures in Jazz	Body and Soul	5.333	0
Vince Guaraldi Trio	A Charlie Brown Christmas	Skating	2.400	0
Stéphane Grappelli,Django Reinhardt	Django Reinhardt & Stéphane Grappelli	Dinah	3.500	0
Sidney Bechet	The Sidney Bechet Story	High Society	3.317	0
Joe Henderson	Our Thing	Our Thing	5.633	0
Modern Jazz Quartet	Lonely Woman	Why Are You Blue?	6.567	0
Art Pepper	Friday Night at the Village Vanguard	A Night in Tunisia	5.950	0
Bill Evans	Waltz for Debby	My Foolish Heart	4.917	0
Louis Prima	The Wildest!	Buona Sera	3.067	0
Ornette Coleman	Town Hall, 1962	Sadness	4.300	0
Miles Davis	Kind of Blue	Freddie Freeloader	9.817	0
