Artist	Album	Song	Duration	Explicit
Hairy Chapter	Can't Get Through / Eyes	There's a Kind of Nothing	5.783	0
Farflung	The Belief Module	Petal	2.817	0
Amon Düül II	Wolf City	Wie der Wind am Ende einer Strasse	5.733	0
Fuzz	Fuzz	Earthen Gate	5.000	0
King Gizzard & The Lizard Wizard	Float Along - Fill Your Lungs	God Is Calling Me Back Home	4.400	0
Lowrider	Ode to Io	Sun Devil	1.250	0
Dead Meadow	Old Growth	What Needs Must Be	4.233	0
Ween	The Mollusk	Ocean Man	2.050	0
The Flaming Lips	The Flaming Lips and Heady Fwends	Children of the Moon	5.500	0
Mercury Rev	Boces	Boys Peel Out	4.483	0
The Black Keys	El Camino	Lonely Boy	3.217	0
Phish	2003-02-28 Nassau Coliseum, Uniondale, NY	Piper	16.217	0
