Artist	Album	Song	Duration	Explicit
H.P. Lovecraft	H.P. Lovecraft	Wayfaring Stranger	2.667	0
Brother JT	Music for the Other Head	Mind (Rot)	4.167	0
Lo-Pan	Sasquanaut	Dragline	5.983	0
Ant-Bee	Lunar Muzik	Love Is Only Sleeping	3.383	0
Captain Beefheart & His Magic Band	I'm Going To Do What I Wanna Do: Live at My Father's Place 1978	Abba Zaba	3.733	0
Acid Mothers Temple SWR	SWR	Eat a Pebble	2.933	0
Granicus	Granicus	Cleveland Ohio	3.500	0
The Human Instinct	Stoned Guitar	Stoned Guitar	6.733	0
Black Sun Ensemble	The Black Sun Ensemble	Blue Thunder	5.183	0
Selda Bağcan	Selda	Yaylalar	3.800	0
Gentlemans Pistols	Gentlemans Pistols	Just a Fraction	2.900	0
Morgan Delt	Morgan Delt	Barbarian Kings	3.883	0
