Artist	Album	Song	Duration	Explicit
Iron Maiden	Powerslave	Flash of the Blade	4.033	0
Black Sabbath	Sabotage	Am I Going Insane (Radio)	4.267	0
Iron Maiden	The Number of the Beast	Run to the Hills	3.883	0
Mötley Crüe	Shout at the Devil	Shout at the Devil	3.233	0
Guns N' Roses	Appetite for Destruction	Welcome to the Jungle	4.550	0
Blue Öyster Cult	Secret Treaties	Career of Evil	4.000	0
AC/DC	Highway to Hell	Highway to Hell	3.467	0
Metallica	…And Justice for All	One	7.433	0
Montrose	Montrose	Rock the Nation	3.050	0
Masters of Reality	Masters Of Reality	The Candy Song	3.483	0
Fu Manchu	California Crossing	California Crossing	3.600	0
