Artist	Album	Song	Duration	Explicit
The Strawberry Alarm Clock	Incense and Peppermints	Incense and Peppermints	2.833	0
The 13th Floor Elevators	The Psychedelic Sounds of the 13th Floor Elevators	Roller Coaster	5.133	0
Hawkwind	Hawkwind	Hurry On Sundown	5.083	0
Gong	Acid Motherhood	Ocean of Molasses	1.533	0
The Chocolate Watchband	The Inner Mystique	Sweet Young Thing	4.300	0
35007	35007 (aka Into the Void We Travelled)	Short Sharp Left	5.450	0
Blues Magoos	Psychedelic Lollipop	Tobacco Road	4.667	0
King Gizzard & The Lizard Wizard	Float Along - Fill Your Lungs	Mystery Jack	2.783	0
Mondo Drag	New Rituals	New Rituals	9.017	1
Captain Beefheart & His Magic Band	Safe as Milk	Zig Zag Wanderer	2.667	0
The Mothers of Invention	We're Only in It for the Money	Take Your Clothes Off When You Dance	1.533	0
Porcupine Tree	On the Sunday of Life	Radioactive Toy	10.000	0
