Artist	Album	Song	Duration	Explicit
Rod Stewart	Every Picture Tells a Story	Maggie May	5.833	0
The Beatles	A Hard Day's Night	A Hard Day’s Night	2.550	0
John Lennon	Imagine	Jealous Guy	4.233	0
R.E.M.	Monster	Bang and Blame	5.517	0
Bon Jovi	Crush	Two Story Town	5.167	0
Aerosmith	Toys in the Attic	Sweet Emotion	4.567	0
Kate Bush	The Dreaming	Sat in Your Lap	3.500	0
David Bowie	Hunky Dory	Life on Mars?	3.900	0
Queen	A Day at the Races	Somebody to Love	4.933	0
Santana	Supernatural	Put Your Lights On	4.750	0
Yes	90125	Changes	6.317	0
