Artist	Album	Song	Duration	Explicit
Sam Roberts	We Were Born in a Flame	On the Run	2.300	0
Bahamas	Bahamas Is Afie	Waves	4.367	0
The Dodos	Time to Die	Time to Die	6.267	0
akron/family	Set 'Em Wild, Set 'Em Free	Everyone Is Guilty	5.950	0
Animal Collective	Prospect Hummer	Prospect Hummer	4.667	0
Six Organs of Admittance	Dark Noontide	Spirits Abandoned	6.350	0
Andrew Jackson Jihad	People That Can Eat People Are the Luckiest People in the World	Rejoice	3.250	0
Peter Stampfel,Jeffrey Lewis	Come on Board	I Spent the Night in the Wax Museum	3.633	0
Emmy the Great	Virtue	Paper Forest (In the Afterglow of Rapture)	3.683	0
Spokane	Measurement	Addition	4.533	0
Dry the River	Alarms In The Heart	Vessel	5.217	0
