Artist	Album	Song	Duration	Explicit
New Order	Power, Corruption & Lies	Age of Consent	5.250	0
The Cure	Disintegration	Lovesong	3.500	0
Devo	Duty Now for the Future	Blockhead	3.000	0
Primal Scream	XTRMNTR	Accelerator	3.683	0
Japan	Tin Drum	Ghosts	4.567	1
Depeche Mode	Ultra	The Love Thieves	6.567	0
The Sound	Jeopardy	Hour of Need	3.183	0
Public Image Ltd.	Metal Box / Second Edition	Careering	4.533	0
Gang of Four	Entertainment!	Ether	3.800	0
Oingo Boingo	Dead Man's Party	Stay	3.617	1
Pere Ubu	The Art of Walking	Loop	3.283	0
Interpol	El Pintor	My Desire	5.000	0
