Artist	Album	Song	Duration	Explicit
Electric Magma	Snail The Wah	Snail the Wah	5.117	0
Fu Manchu	No One Rides For Free	Ojo Rojo	3.817	0
Hermano	...Only A Suggestion	The Bottle	4.700	0
Masters of Reality	Give Us Barabbas	Brown House on the Green Road	3.583	0
Nightstalker	Use	This Is U	6.367	0
Dexter Jones' Circus Orchestra	Side by side	Nyby	2.750	0
Glowsun	The Sundering	No Way	2.783	0
Astrosoniq	Sound Grenade	Sound Grenade	6.183	0
35007	Liquid	Evaporate	5.883	0
Freedom Hawk	Freedom Hawk	My Road	3.767	0
Earthless	From The Ages	Violence of the Red Sea	14.733	0
