Artist	Album	Song	Duration	Explicit
Bootsy's Rubber Band	Ahh... The Name Is Bootsy, Baby!	Munchies for Your Love	9.633	0
Johnnie Taylor	Taylored In Silk	We're Getting Careless With Our Love	4.083	0
The Temptations	All Directions	Mother Nature	3.167	0
Rick James	Come Get It!	Mary Jane	4.950	0
Kool & the Gang	Wild and Peaceful	Jungle Boogie	3.100	0
Earth, Wind & Fire	That's the Way of the World	Reasons	4.983	0
Sly & The Family Stone	There's a Riot Goin' On	Luv n' Haight	4.050	0
Marvin Gaye	Midnight Love	Rockin' After Midnight	6.050	0
Stevie Wonder	Greatest Hits	I Was Made to Love Her	2.617	0
The Bar-Kays	Soul Finger	Knucklehead	2.367	0
Ohio Players	Pain	Pain	6.250	0
