Artist	Album	Song	Duration	Explicit
Larry Young	Lawrence of Newark	Sunshine Fly Away	8.633	0
Etta James	At Last: The Best of Etta James	I Just Want to Make Love to You	3.083	0
Herbie Hancock	Thrust	Butterfly	11.283	0
Lee Fields	Faithful Man	Faithful Man	4.067	0
Howlin' Wolf	This Is Howlin' Wolf's New Album	Spoonful	3.850	0
David Axelrod	Song of Innocence	Holy Thursday	5.517	0
John Klemmer	Paint It Black: Kaleidoscopic Funk Collision	Third Stone From the Sun	4.167	0
Fred Wesley and The Horny Horns	A Blow For Me, A Toot To You	When in Doubt: Vamp	4.400	0
Meshell Ndegeocello	Plantation Lullabies	Outside Your Door	5.133	0
