Artist	Album	Song	Duration	Explicit
Nile	In Their Darkened Shrines	Sarcophagus	5.150	0
Cannibal Corpse	Bloodthirst	Dead Human Collection	2.500	0
Suffocation	Effigy of the Forgotten	Liege of Inveracity	4.500	0
Exhumed	Necrocracy	Coins Upon the Eyes	4.017	0
Whitechapel	The Somatic Defilement	Ear to Ear	3.500	0
Suicide Silence	The Cleansing	No Pity for a Coward	3.183	0
Napalm Death	From Enslavement to Obliteration	Unchallenged Hate	2.100	1
Brutal Truth	Need to Control	Godplayer	4.100	0
The Black Dahlia Murder	Nocturnal	Deathmask Divine	3.617	0
All That Remains	Behind Silence and Solitude	Behind Silence and Solitude	4.317	0
Children of Bodom	Blooddrunk	Hellhounds on My Trail	4.000	0
Dethklok	Dethalbum II	Burn the Earth	4.000	1
Graveworm	When Daylight's Gone & Underneath the Crescent Moon	Awake	6.433	0
