Artist	Album	Song	Duration	Explicit
Animal Collective	Here Comes the Indian	Native Belle	3.867	0
Mazinga Phaser	Cruising In The Neon Glories Of The New American Night	New Journeys	5.817	0
Melody's Echo Chamber	Melody's Echo Chamber	I Follow You	3.583	0
Pond	Frond	Annie Orangetree	3.483	0
Moon Duo	Mazes	Mazes	5.083	0
Spacemen 3	Dreamweapon	Ecstasy in Slow Motion	9.367	0
The Brian Jonestown Massacre	Methodrone	That Girl Suicide	3.683	0
Dungen	Tio bitar	Familj	5.667	0
Neu!	Neu! 2	Super 16	3.650	0
Faust	Faust	Miss Fortune	16.583	0
