Artist	Album	Song	Duration	Explicit
Cream	The Very Best Of Cream	White Room	4.983	0
Janis Joplin	I Got Dem Ol' Kozmic Blues Again Mama!	One Good Man	4.183	0
Janis Joplin	Pearl	Cry Baby	3.967	0
Dire Straits	Dire Straits	Sultans of Swing	5.800	0
Left Lane Cruiser	All You Can Eat	Crackalacka	3.950	1
Eric Clapton	461 Ocean Boulevard	Let It Grow	4.967	0
Muddy Waters	Hard Again	I Want to Be Loved	2.350	0
Colosseum	Those Who Are About to Die Salute You	Those About to Die	4.917	0
David Bowie	Best of Bowie	Golden Years	3.483	0
Kate Bush	The Dreaming	Sat in Your Lap	3.500	0
The Beatles	Anthology 2	Lucy in the Sky With Diamonds	2.833	0
It's a Beautiful Day	It's a Beautiful Day	White Bird	6.183	0
