Artist	Album	Song	Duration	Explicit
Soundgarden	Badmotorfinger	Outshined	5.167	0
Royal Blood	Royal Blood	Figure It Out	3.067	0
Failure	Fantastic Planet	Saturday Saviour	4.450	0
Faith No More	The Real Thing	Epic	4.883	0
Mr. Bungle	California	Pink Cigarette	4.917	0
Red Hot Chili Peppers	Freaky Styley	If You Want Me to Stay	4.117	0
Foo Fighters	Sonic Highways	Something From Nothing	4.800	0
The Offspring	Americana	Pretty Fly (for a White Guy)	3.133	0
CAKE	Showroom of Compassion	Sick of You	3.217	0
The White Stripes	Elephant	The Hardest Button to Button	3.533	0
Alice in Chains	MTV Unplugged	Would?	3.717	0
Jane's Addiction	Ritual de lo Habitual	Three Days	10.833	0
