Artist	Album	Song	Duration	Explicit
Kraan	Andy Nogger	Andy Nogger	3.783	0
Brand X	Unorthodox Behaviour	Nuclear Burn	6.383	0
Mahavishnu Orchestra	Birds of Fire	Birds of Fire	5.833	0
Blood, Sweat & Tears	Blood, Sweat & Tears	Spinning Wheel	4.083	0
Colosseum	Those Who Are About to Die Salute You	Those About to Die	4.917	0
Chick Corea	Chick Corea Elektric Band	City Gate	0.883	0
Caravan	For Girls Who Grow Plump in the Night	The Dog, The Dog, He's at It Again	4.700	0
Gentle Giant	Octopus	Knots	4.183	0
King Crimson	In the Court of the Crimson King	I Talk to the Wind (alternate mix)	6.600	0
Dream Theater	Octavarium	Panic Attack	8.217	0
