Artist	Album	Song	Duration	Explicit
Fireball Ministry	Their Rock Is Not Our Rock	The Broken	4.750	0
Red Fang	Whales and Leeches	Blood Like Cream	3.550	0
Fu Manchu	In Search Of...	Missing Link	3.350	0
Monster Magnet	Dopes to Infinity	Look to Your Orb for the Warning	6.550	0
Spiritual Beggars	Ad Astra	Angel of Betrayal	3.683	0
Abramis Brama	Nothing Changes	Nothing Changes	4.783	0
Kyuss	Wretch	Son of a Bitch	6.050	0
Clutch	Clutch	Big News I	5.233	0
Solace	13	Sled Heavy	3.417	1
Alabama Thunderpussy	Fulton Hill	Wage Slave	3.583	1
Corrosion of Conformity	Deliverance	Heaven's Not Overflowing	5.033	0
