Artist	Album	Song	Duration	Explicit
Julia Holter	Live Recordings	Je vivroie liement	3.550	0
Julianna Barwick	Florine	Anjos	3.417	0
Lewis	Romantic Times	We Danced All Night	3.583	0
Hellvete	Dietslander	Donk	7.167	0
Grouper	The Man Who Died in His Boat	Towers	5.317	0
Varghkoghargasmal	Drowned In Lakes	Autumn Rain	7.267	0
Flying Saucer Attack	P.A. Blues	The Season is Ours	2.767	0
Daniel Figgis	Skipper	Alison Creaking	3.350	0
Natural Snow Buildings	The Dance of the Moon and the Sun	Carved Heart	1.117	0
Ayuo Takahashi (高橋鮎生)	Izutsu	Ama No Umi	2.417	0
Doldrums	Feng Shui	Left in an Airport Gift Shop 1	4.550	0
Expo '70	Where Does Your Mind Go?	Night Dusting the Atmosphere	16.750	0
