Artist	Album	Song	Duration	Explicit
Rahsaan Roland Kirk	The Inflated Tear	A Laugh for Rory	2.900	0
Greg Haines	Until the Point of Hushed Support	Industry vs. Inferiority	4.217	0
Ólafur Arnalds	Living Room Songs	Near Light	3.467	0
Max Richter	The Blue Notebooks	The Trees	7.867	0
Nils Frahm	Wintermusik	Ambre	3.783	0
Harold Budd	In the Mist	Haru Spring	4.700	0
Nils Frahm	Screws	Re	3.833	0
Library Tapes	Fragment	Fragment II	4.033	0
Field Rotation	Acoustic Tales	Acoustic Tale 1 (Introduction)	8.500	0
Max Richter	Songs from Before	Fragment	1.683	0
Jóhann Jóhannsson	IBM 1401, A User's Manual	Part 1: IBM 1401 Processing Unit	8.533	0
